"filename", "language", "PostCSS", "PHP", "JavaScript", "Markdown", "MS SQL", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-da.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-de.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-el.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-eo.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-es.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-et.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-fa.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-fi.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-fo.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-fr.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-gl.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-he.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-hi.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 6, 3, 36
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-hr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-hu.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-hy.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-id.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 7, 3, 32
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-it.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ja.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 8, 3, 38
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ka.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ko.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ku.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-lt.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-lv.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-mg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-mn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ms.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-nb.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-nl.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 5, 3, 35
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-pl.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
